Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,RECORD_KEY,Load Date,year_month,date_key
2011,2,New York,Person-to-person,Norovirus,,Suspected,,76,,,,,,,,,,,0000bee5de70c4bd,2024-12-20,2011-02,20110201
2012,3,Colorado,Person-to-person,Norovirus unknown,,Suspected,,260,0,260,0,260,,,,,,,000106b5b551cc6b,2024-12-20,2012-03,20120301
2012,3,West Virginia,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,00017ef3d56b7909,2024-12-20,2012-03,20120301
2000,8,Ohio,Food,Norovirus Genogroup I,unknown,Confirmed,Other,100,,,0,100,water;lettuce-based salads unspecified;ice,,Multiple,,,,0001975becb5c69b,2024-12-20,2000-08,20000801
2010,3,New York,Person-to-person,Norovirus,,Suspected,,21,,,,,,,,,,,0002d388d6c673fd,2024-12-20,2010-03,20100301
2011,1,New Hampshire,Person-to-person,,,,Other healthcare facility,11,1,11,0,11,,,,,,,0002daa7080885ae,2024-12-20,2011-01,20110101
2015,11,Virginia,Person-to-person,Norovirus,,Suspected,School/college/university,48,0,,0,,,,,,,,0002e86e6d1fde66,2024-12-20,2015-11,20151101
2018,12,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,14,,0,,0,,,,,,,0003fd8bc6748dcd,2024-12-20,2018-12,20181201
2006,1,Tennessee,Food,,,,Restaurant: Other,11,0,11,0,11,,,,,,,00041184d49f8d2f,2024-12-20,2006-01,20060101
2011,7,Minnesota,Indeterminate/unknown,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,,3,1,3,0,3,,,,,,,000425743bf02a7b,2024-12-20,2011-07,20110701
1998,2,Ohio,Food,,,,Restaurant: Other,2,0,2,0,2,,,,,,,00045f48b997930b,2024-12-20,1998-02,19980201
1999,10,New York,Food,Listeria monocytogenes,,Confirmed,Private home/residence,4,,,,,"hot dog, unspecified",beef,Beef,,,,0004f37a19b9eacf,2024-12-20,1999-10,19991001
2016,12,Maine,Food,Norovirus,,Suspected,School/college/university,71,0,0,0,0,,,,,,,00055afbf573387e,2024-12-20,2016-12,20161201
2000,12,Oregon,Food,Norovirus Genogroup I,,Confirmed,Correctional/detention facility,65,1,65,0,65,coleslaw,leafy green,Vegetable Row Crops,,,,000562979ba0c08e,2024-12-20,2000-12,20001201
2010,5,Kentucky,Person-to-person,Norovirus unknown,,Confirmed,,51,0,0,0,0,,,,,,,0005c60e5fe268fb,2024-12-20,2010-05,20100501
2009,3,Oregon,Indeterminate/unknown,Norovirus Genogroup II,unknown,Confirmed,Restaurant,18,0,18,0,18,,,,,,,00070c209f4bbe44,2024-12-20,2009-03,20090301
2022,3,Colorado,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,7,1,7,0,7,,,,,,,00072d4607390931,2024-12-20,2022-03,20220301
1999,3,Washington,Food,,,,,3,,,,,"beef, unspecified",,Beef,,,,0007d12c48efec29,2024-12-20,1999-03,19990301
2015,1,Puerto Rico,Indeterminate/unknown,Staphylococcus aureus,,Confirmed,School/college/university,59,0,59,0,59,,,,,,,00081c238832534a,2024-12-20,2015-01,20150101
2000,4,Mississippi,Food,Salmonella enterica,Heidelberg,Confirmed,,6,3,6,0,6,"stuffing, unspecified;chicken, unspecified",,Multiple,,,,000980c9b9e09639,2024-12-20,2000-04,20000401
2023,1,Iowa,Person-to-person,Norovirus Genogroup I,GI.P13 GI.3,Confirmed,Long-term care/nursing home/assisted living facility,44,0,44,0,44,,,,,,,000999353113ed01,2024-12-20,2023-01,20230101
1973,8,Tennessee,Water,Giardia duodenalis,,Confirmed,Farm/dairy/agricultural setting,5,,,0,,,,,Drinking water,Individual/Private,,0009b9624b6ab5a4,2024-12-20,1973-08,19730801
2023,6,South Carolina,Food,Norovirus unknown,,Suspected,,4,0,4,0,4,,,,,,,0009f990bf3c31ce,2024-12-20,2023-06,20230601
2016,6,South Carolina,Food,Norovirus Genogroup II,unknown,Suspected,Restaurant: Sit-down dining,5,0,5,0,5,,,,,,,000b4ab538943120,2024-12-20,2016-06,20160601
2012,2,Illinois,Food,Salmonella enterica,Oranienburg,Confirmed,Restaurant: Sit-down dining,3,0,3,0,3,,,,,,,000c521618883925,2024-12-20,2012-02,20120201
2016,3,Virginia,Person-to-person,Norovirus,,Suspected,School/college/university,6,0,6,0,6,,,,,,,00105a465904b6a0,2024-12-20,2016-03,20160301
2019,3,Multistate,Food,Vibrio parahaemolyticus,,Confirmed,Restaurant: Other,9,1,9,0,9,raw oysters,,Mollusks,,,,00106066578c3398,2024-12-20,2019-03,20190301
2012,12,Oregon,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,17,,17,,17,,,,,,,0014cea5c76a54cd,2024-12-20,2012-12,20121201
2020,9,Washington,Food,Campylobacter unknown,,Suspected,Restaurant: Sit-down dining,4,0,4,0,4,chicken,chicken,Chicken,,,,0015f6274fb9dbde,2024-12-20,2020-09,20200901
2003,3,Minnesota,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,45,0,41,0,41,lettuce-based salads unspecified,,Multiple,,,,0016129e15a55070,2024-12-20,2003-03,20030301
2021,10,Colorado,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,39,0,39,0,39,,,,,,,001981e5dd696efc,2024-12-20,2021-10,20211001
2021,7,Ohio,Animal contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Festival/Fair,5,1,5,0,5,,,,,,,0019b4e30a35b1dc,2024-12-20,2021-07,20210701
2019,11,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Hospital,12,0,12,0,12,,,,,,,0019eb1133a15902,2024-12-20,2019-11,20191101
2018,6,Minnesota,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Buffet,32,7,32,1,32,,,,,,,001a5f09d980d324,2024-12-20,2018-06,20180601
1998,4,Maryland,Food,,,,Grocery store/bakery/deli/convenience store,15,,,,,"ham, unspecified",,Pork,,,,001bf56b38b19bf5,2024-12-20,1998-04,19980401
2000,4,Michigan,Food,,,,Restaurant: Other,2,0,,0,,"chicken, buffalo wings",,Multiple,,,,001e2bd6e9232784,2024-12-20,2000-04,20000401
2014,3,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,43,1,1,0,43,,,,,,,0020e9b79463a974,2024-12-20,2014-03,20140301
2017,3,New York,Person-to-person,Norovirus,,Suspected,,5,,,,,,,,,,,002135ddf2a064fc,2024-12-20,2017-03,20170301
2014,4,Colorado,Person-to-person,Norovirus,,Suspected,,343,0,0,0,0,,,,,,,0022c9e26917fb2d,2024-12-20,2014-04,20140401
2019,2,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,5,1,5,0,5,,,,,,,0022d31730b534c3,2024-12-20,2019-02,20190201
1979,4,New Hampshire,Water,,,,Unknown,17,,,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,,0023790c7bb275e1,2024-12-20,1979-04,19790401
2018,7,Illinois,Food,"Escherichia coli, Shiga toxin-producing",O157,Confirmed,Private home/residence,3,1,1,0,0,,,,,,,0024835e2e3e7933,2024-12-20,2018-07,20180701
2009,11,Alaska,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,62,0,62,0,62,,,,,,,002504eafce79b2a,2024-12-20,2009-11,20091101
2013,6,Indiana,Indeterminate/unknown,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,,6,2,5,0,5,,,,,,,00252c6852be7975,2024-12-20,2013-06,20130601
2002,3,Minnesota,Food,Bacillus cereus;Clostridium perfringens;Staphylococcus aureus,,Confirmed;Confirmed;Confirmed,Restaurant: Other,45,0,43,0,43,"refried beans, unspecified;chicken, unspecified",,Multiple,,,,002594fceb081c1c,2024-12-20,2002-03,20020301
2013,10,Minnesota,Animal contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,7,2,7,0,7,,,,,,Cattle,00264dd655425ade,2024-12-20,2013-10,20131001
2013,12,Oregon,Person-to-person,Norovirus Genogroup II,GII.13,Confirmed,Long-term care/nursing home/assisted living facility,32,,32,,32,,,,,,,00276c505d3a66a4,2024-12-20,2013-12,20131201
2014,4,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,36,0,,0,,,,,,,,002a1a7c399fda9d,2024-12-20,2014-04,20140401
2014,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,103,2,103,0,103,,,,,,,002a338c2bd55efc,2024-12-20,2014-02,20140201
2018,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,15,1,15,0,15,,,,,,,002ba9d12c1f566a,2024-12-20,2018-01,20180101
2023,3,Rhode Island,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,6,0,6,0,6,,,,,,,002ccbcf38529e76,2024-12-20,2023-03,20230301
2005,5,California,Food,Clostridium perfringens,,Suspected,Private home/residence;Restaurant: Other,40,1,40,0,40,"beef, smoked",,Beef,,,,002d41cef72e4932,2024-12-20,2005-05,20050501
2016,6,Florida,Food,,,,Restaurant: Sit-down dining,5,0,5,0,5,eggs benedict,egg,Eggs,,,,002dab0d98bda73d,2024-12-20,2016-06,20160601
2016,12,Ohio,Person-to-person,Shigella,,Suspected,Child daycare/preschool,2,0,1,0,2,,,,,,,002dc010c76e2099,2024-12-20,2016-12,20161201
2018,11,Tennessee,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,Restaurant: Fast-food (drive up service or pay at counter);Restaurant: Sit-down dining,25,14,24,0,25,"pork, BBQ;coleslaw",pork,Pork,,,,002e903375623151,2024-12-20,2018-11,20181101
2004,5,Florida,Food,,,,Restaurant: Other,2,,,,,"taco, beef",,Multiple,,,,002f8e8255c42646,2024-12-20,2004-05,20040501
2011,4,Connecticut,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,1,8,0,8,,,,,,,00317ce40160b63d,2024-12-20,2011-04,20110401
2017,2,Utah,Person-to-person,Norovirus unknown,,Suspected,Child daycare/preschool,23,,0,,0,,,,,,,0035122ebea885c5,2024-12-20,2017-02,20170201
2012,2,Massachusetts,Person-to-person,,,,Long-term care/nursing home/assisted living facility,32,0,32,0,32,,,,,,,0035ac82f2de0dec,2024-12-20,2012-02,20120201
2017,11,Kansas,Person-to-person,Norovirus Genogroup II,unknown,Suspected,School/college/university,96,0,7,0,7,,,,,,,00379c849a689041,2024-12-20,2017-11,20171101
2017,8,Ohio,Person-to-person,Norovirus,,Suspected,Unknown,5,0,5,0,5,,,,,,,0038b1c7bcd6cdc4,2024-12-20,2017-08,20170801
2011,12,Minnesota,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,18,0,0,0,18,,,,,,,00395803000f7dfc,2024-12-20,2011-12,20111201
2016,11,Massachusetts,Person-to-person,Norovirus,,Suspected,School/college/university,55,0,55,0,55,,,,,,,0039c134dbffd6be,2024-12-20,2016-11,20161101
2012,12,New Hampshire,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,127,0,127,0,127,,,,,,,003a9deb61a70cbc,2024-12-20,2012-12,20121201
2011,12,Virginia,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,003c895973cc1464,2024-12-20,2011-12,20111201
2007,6,Ohio,Food,Norovirus Genogroup II,unknown,Confirmed,Other;Restaurant: Other,10,0,10,0,10,,,,,,,003ccd1d24a91efa,2024-12-20,2007-06,20070601
2018,4,Georgia,Food,,,,Restaurant: Sit-down dining,3,0,3,0,3,,,,,,,003e3e2678a0debc,2024-12-20,2018-04,20180401
2002,3,Florida,Food,,,,Restaurant: Other,4,0,4,0,4,,,,,,,003e81f3e2325f73,2024-12-20,2002-03,20020301
2016,8,Pennsylvania,Indeterminate/unknown,Giardia,,Suspected,Private home/residence,2,1,2,0,2,,,,,,,003ec523557518dc,2024-12-20,2016-08,20160801
2014,3,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Restaurant,20,,,,,,,,,,,003fa18213fd24ab,2024-12-20,2014-03,20140301
2010,8,Iowa,Water,Cryptosporidium unknown,,Confirmed,Park - Amusement/Waterpark,15,0,15,0,15,,,,Recreational water -- treated,Pool - Other Swimming Pool,,004013ff9bcad08c,2024-12-20,2010-08,20100801
2003,5,Colorado,Food,,,,Caterer;Restaurant: Other,6,0,6,0,6,"pork, other",,Pork,,,,0041bb3fb42974b8,2024-12-20,2003-05,20030501
2012,10,Kentucky,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Sit-down dining,37,0,37,0,37,"salad, unspecified",,Multiple,,,,0043b7a22db225bf,2024-12-20,2012-10,20121001
2012,6,Virginia,Person-to-person,Norovirus,,Suspected,Office/indoor workplace,28,0,28,0,28,,,,,,,00473982270046a5,2024-12-20,2012-06,20120601
1999,8,Michigan,Food,Bacillus cereus;Staphylococcus aureus,,Suspected;Suspected,Restaurant: Other,3,1,3,0,3,,,,,,,004828c7d395668d,2024-12-20,1999-08,19990801
2016,3,Colorado,Person-to-person,Norovirus,,Suspected,School/college/university,2,0,2,0,2,,,,,,,00484411b1d10fbd,2024-12-20,2016-03,20160301
2010,3,Oregon,Indeterminate/unknown,,,,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,004a86de8af6c95b,2024-12-20,2010-03,20100301
2023,2,Alabama,Person-to-person,Norovirus Genogroup I;Clostridium difficile;Norovirus Genogroup I,GI.1;GI.P13 GI.3,Confirmed;Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,004c4bb14035c993,2024-12-20,2023-02,20230201
2001,6,Florida,Food,Staphylococcus aureus,,Suspected,Unknown,2,,,,,"taco, unspecified",,Multiple,,,,004c5e231cdaefff,2024-12-20,2001-06,20010601
2005,4,South Carolina,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,35,15,29,0,29,macaroni and cheese,,Multiple,,,,004c7715b9c28908,2024-12-20,2005-04,20050401
2010,3,Pennsylvania,Person-to-person,Shigella sonnei,,Confirmed,Child daycare/preschool,47,0,47,0,47,,,,,,,004d583acd9caee2,2024-12-20,2010-03,20100301
2017,1,Texas,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,004da71ed6e74392,2024-12-20,2017-01,20170101
2002,12,California,Food,Bacillus cereus;Clostridium perfringens,,Suspected;Suspected,Festival/fair,3,0,3,0,3,,,,,,,004fade6b904e996,2024-12-20,2002-12,20021201
2015,6,Minnesota,Food,Clostridium perfringens,,Suspected,Restaurant: Sit-down dining,3,0,3,0,3,beef/bean mixture,,Multiple,,,,004fe7e316016a8c,2024-12-20,2015-06,20150601
2013,1,Virginia,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,23,0,23,0,23,,,,,,,00510039310d56c3,2024-12-20,2013-01,20130101
2019,4,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,,0054078f0487089f,2024-12-20,2019-04,20190401
2012,12,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Hospital,31,0,31,0,31,,,,,,,005494ec04461434,2024-12-20,2012-12,20121201
2017,6,Multistate,Animal contact,Salmonella enterica;Salmonella enterica,Paratyphi B var. L(+) tartrate +;Mbandaka,Confirmed;Confirmed,Private home/residence,11,2,11,0,11,,,,,,Snake,00567e49f553d7b4,2024-12-20,2017-06,20170601
2016,9,Georgia,Person-to-person,Shigella sonnei,subgroup D,Confirmed,School/college/university,4,1,4,0,4,,,,,,,0057546860d2a5a2,2024-12-20,2016-09,20160901
2015,3,Montana,Indeterminate/unknown,Norovirus Genogroup II,unknown,Suspected,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,005c97546613a30a,2024-12-20,2015-03,20150301
2016,3,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,,005dc99de1cf8983,2024-12-20,2016-03,20160301
2021,9,Nebraska,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,6,1,6,0,6,,,,,,,005f95ecbe83850d,2024-12-20,2021-09,20210901
2000,6,Texas,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Correctional/detention facility,45,0,,0,,,,,,,,005fdebb666ee10d,2024-12-20,2000-06,20000601
2015,12,Arizona,Person-to-person,Norovirus Genogroup II,,Confirmed,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,,006000e6c9fa70bc,2024-12-20,2015-12,20151201
2010,5,Arizona,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,36,1,36,0,36,,,,,,,006016716c7ea483,2024-12-20,2010-05,20100501
2021,10,New York,Indeterminate/unknown,,,,School/college/university,53,0,53,0,53,,,,,,,0060bc9d63b22cfd,2024-12-20,2021-10,20211001
2017,4,Ohio,Food,Norovirus;Norovirus Genogroup I,,Confirmed;Suspected,Hotel/motel,46,0,0,0,0,,,,,,,0061ba8a495d1d3c,2024-12-20,2017-04,20170401
2013,12,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,17,1,17,0,17,,,,,,,00620dbb5a78c6bc,2024-12-20,2013-12,20131201
2015,3,Ohio,Food,,,,Unknown,2,0,2,0,2,,,,,,,00636a5e7afa016d,2024-12-20,2015-03,20150301
2001,4,California,Food,,,,Restaurant: Other,9,0,9,0,9,marinara sauce,,N/A,,,,006398cb3e5da0dd,2024-12-20,2001-04,20010401
2012,11,Wisconsin,Environmental contamination other than food/water,Norovirus Genogroup II,GII.2,Confirmed,Other,11,0,11,0,11,,,,,,,0063f65cb205524a,2024-12-20,2012-11,20121101
2002,8,California,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,24,0,19,0,19,"lasagna, unspecified;eggplant, unspecified",,Multiple,,,,00647295fec9cb03,2024-12-20,2002-08,20020801
2007,9,Pennsylvania,Food,Campylobacter jejuni,,Confirmed,Other,4,0,4,0,4,Raw Milk,,Dairy,,,,0064934ef9a3214d,2024-12-20,2007-09,20070901
2022,3,Wisconsin,Person-to-person,Norovirus Genogroup II;Norovirus unknown,GII.P16 GII.4 Sydney,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,31,3,31,0,31,,,,,,,00649ef5f26dab36,2024-12-20,2022-03,20220301
2002,4,Michigan,Food,,,,Private home/residence,10,0,10,0,10,,,,,,,0065a71934df75a3,2024-12-20,2002-04,20020401
2017,4,Maryland,Food,Salmonella enterica,Typhimurium,Confirmed,Restaurant: Other,7,5,7,0,7,,,,,,,0065ffb18e83aeea,2024-12-20,2017-04,20170401
2020,5,Wisconsin,Food,"Campylobacter coli;Escherichia coli, Enteropathogenic",unknown,Confirmed;Suspected,Other,14,1,14,0,14,Beans with ground beef;Pulled Pork,,Multiple,,,,0066849866d60ebe,2024-12-20,2020-05,20200501
2009,3,California,Food,Norovirus Genogroup II,,Suspected,Restaurant: Other,9,0,8,0,8,tomatoes;Salads,tomato,Seeded Vegetables,,,,0066b88db3f41b0a,2024-12-20,2009-03,20090301
2014,2,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,11,1,11,0,11,,,,,,,0067dc6e0206cb3f,2024-12-20,2014-02,20140201
2017,11,North Carolina,Person-to-person,,,,Long-term care/nursing home/assisted living facility,52,0,52,0,52,,,,,,,0068417aea1022dc,2024-12-20,2017-11,20171101
2021,6,Washington,Person-to-person,Norovirus Genogroup I;Norovirus Genogroup II,unknown,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,57,0,0,1,1,,,,,,,0068744c34e067ac,2024-12-20,2021-06,20210601
2001,10,New Jersey,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,7,,,,,,,,,,,00696833e0e7c026,2024-12-20,2001-10,20011001
2015,2,Minnesota,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,30,,,0,30,,,,,,,0069d7a22390846a,2024-12-20,2015-02,20150201
2011,2,Missouri,Person-to-person,,,,Long-term care/nursing home/assisted living facility,108,0,108,0,108,,,,,,,006bb3e9b14a797a,2024-12-20,2011-02,20110201
2021,4,Nebraska,Person-to-person,Norovirus unknown,,Suspected,School/college/university,14,0,14,0,14,,,,,,,006f466da4bf60cb,2024-12-20,2021-04,20210401
2022,4,South Carolina,Person-to-person,Norovirus,,Suspected,School/college/university,8,0,8,0,8,,,,,,,007105b84715fbf6,2024-12-20,2022-04,20220401
2015,1,New Hampshire,Person-to-person,,,,Long-term care/nursing home/assisted living facility,25,0,0,0,0,,,,,,,00734f3133786f07,2024-12-20,2015-01,20150101
2019,12,Minnesota,Person-to-person,Norovirus unknown,,Suspected,School/college/university,24,,0,,0,,,,,,,00749323e1e64d47,2024-12-20,2019-12,20191201
2022,8,Ohio,Food,,,,Restaurant: Sit-down dining,20,0,20,0,20,,,,,,,0074f3e03ced8857,2024-12-20,2022-08,20220801
2018,2,Michigan,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,,0075000ac73e24fd,2024-12-20,2018-02,20180201
2013,1,West Virginia,Person-to-person,,,,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,,007583445d270e26,2024-12-20,2013-01,20130101
1998,12,New York,Food,,,,Restaurant: Other,4,,,,,,,,,,,0076630b1270fdfb,2024-12-20,1998-12,19981201
2004,10,South Carolina,Food,Clostridium perfringens,,Confirmed,Private home/residence,9,0,9,0,9,"rice, unspecified;pork, BBQ",,Multiple,,,,0076b6f7079133d7,2024-12-20,2004-10,20041001
2003,3,California,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,7,0,7,0,7,,,,,,,0077034ebbf34f7c,2024-12-20,2003-03,20030301
2022,9,Tennessee,Person-to-person,Cryptosporidium unknown,,Confirmed,Child daycare/preschool,5,0,5,0,5,,,,,,,0077682423ace42e,2024-12-20,2022-09,20220901
2012,3,Michigan,Person-to-person,,,,,47,0,0,0,0,,,,,,,007774e839c785fa,2024-12-20,2012-03,20120301
2000,6,Georgia,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant: Other,26,0,18,0,18,"shell eggs, scrambled hard",egg,Eggs,,,,007782866f7cacd0,2024-12-20,2000-06,20000601
2022,8,Washington,Food,Unknown - Bacterium,,Suspected,Restaurant: Sit-down dining,4,0,4,0,4,Ground sausage,"ground beef, sausage",Beef,,,,0077ba476198c69f,2024-12-20,2022-08,20220801
2013,6,Arizona,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,19,0,0,1,19,,,,,,,0078ba9f724c81b3,2024-12-20,2013-06,20130601
2018,12,Oregon,Person-to-person,,,,Long-term care/nursing home/assisted living facility,18,1,18,0,18,,,,,,,007a233fe4f97437,2024-12-20,2018-12,20181201
2011,5,Nevada,Person-to-person,Norovirus Genogroup I,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,4,24,0,24,,,,,,,007a416f00c22ed2,2024-12-20,2011-05,20110501
2011,2,Virginia,Person-to-person,Norovirus,,Confirmed,Hospital,57,0,57,0,57,,,,,,,007ab30f41cb4acd,2024-12-20,2011-02,20110201
2000,1,Maryland,Food,,,,Restaurant: Other,2,0,2,0,2,unspecified beverage,,Other,,,,007cc7fc43e32dd5,2024-12-20,2000-01,20000101
2023,1,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,,007f92d09936b813,2024-12-20,2023-01,20230101
2006,5,California,Food,Norovirus unknown,,Confirmed,Restaurant: Other,27,0,23,0,23,"sandwich, turkey",,Multiple,,,,007fea41a0c90da9,2024-12-20,2006-05,20060501
2021,11,Nevada,Person-to-person,,,,School/college/university,13,0,13,0,13,,,,,,,0080bfe5adfa1f21,2024-12-20,2021-11,20211101
2019,11,New Hampshire,Food,Salmonella enterica,Enteritidis,Suspected,Private home/residence,4,0,4,0,4,turkey,turkey,Turkey,,,,00816f2513359933,2024-12-20,2019-11,20191101
2004,3,California,Food,Norovirus Genogroup I,,Suspected,Unknown,67,0,65,0,65,unspecified fruit,,Fruits,,,,00821e92f1f37606,2024-12-20,2004-03,20040301
2010,8,Oregon,Indeterminate/unknown,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,45,2,45,0,45,,,,,,,00828c560835fd6c,2024-12-20,2010-08,20100801
2013,7,Minnesota,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,51,0,0,0,0,,,,,,,008341d878801245,2024-12-20,2013-07,20130701
2002,3,California,Food,Norovirus Genogroup I,,Suspected,Other;Restaurant: Other,60,0,58,0,58,,,,,,,008342d8bcdbd5e3,2024-12-20,2002-03,20020301
2022,10,Alabama,Person-to-person,Norovirus unknown,,Suspected,Restaurant,4,0,4,0,4,,,,,,,00849756fcafa0cb,2024-12-20,2022-10,20221001
2020,2,Wisconsin,Food,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Restaurant: Fast-food (drive up service or pay at counter),17,0,16,0,16,"sandwich, submarine",,Multiple,,,,0084b5e2fbc48049,2024-12-20,2020-02,20200201
2022,6,Colorado,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,6,2,6,0,6,,,,,,,008531986e8313ec,2024-12-20,2022-06,20220601
2021,2,Nebraska,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,26,0,26,0,26,,,,,,,0086a8067a3af0e7,2024-12-20,2021-02,20210201
2000,6,Florida,Water,Unknown,,Suspected,Private home/residence,2,0,,0,,,,,Drinking water,Individual/Private,,008773bf4eda22eb,2024-12-20,2000-06,20000601
2018,8,Maryland,Food,Salmonella enterica,Enteritidis,Confirmed,Religious facility,7,2,7,0,7,,,,,,,0089a1992f53238b,2024-12-20,2018-08,20180801
2018,9,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,17,0,15,0,15,,,,,,,008e06efecc4f6f9,2024-12-20,2018-09,20180901
2006,9,Illinois,Food,Staphylococcus aureus,,Confirmed,Restaurant: Other,23,3,10,0,13,"pork, other",,Pork,,,,00906dc4a97b62c2,2024-12-20,2006-09,20060901
2014,6,Connecticut,Food,Salmonella enterica,,Confirmed,Restaurant: Sit-down dining,4,1,4,0,4,mango batido,,Multiple,,,,009298071935082c,2024-12-20,2014-06,20140601
2023,3,Massachusetts,Person-to-person,Norovirus unknown,,Suspected,School/college/university,2,0,2,0,2,,,,,,,009430921ecaac32,2024-12-20,2023-03,20230301
2022,12,Montana,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,00947817fd2b19af,2024-12-20,2022-12,20221201
2016,1,Georgia,Food,Norovirus Genogroup II,unknown,Confirmed,Restaurant: Sit-down dining,9,0,9,0,9,,,,,,,009576fe48e1f240,2024-12-20,2016-01,20160101
2018,3,Illinois,Food,Staphylococcus,,Suspected,Restaurant: Sit-down dining,3,0,3,0,3,chicken,,Chicken,,,,00960c7cd67f014d,2024-12-20,2018-03,20180301
2021,7,Minnesota,Food,Bacillus cereus;Clostridium perfringens,,Suspected;Suspected,Restaurant: Sit-down dining,7,0,7,0,7,,,,,,,009615ae03aba7d8,2024-12-20,2021-07,20210701
