Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,RECORD_KEY,Load Date,year_month,date_key
2006,11,Ohio,Food,Norovirus Genogroup I,,Confirmed,Restaurant: Other,4,2,4,0,4,,,,,,,bba239ea77abdc47,2024-12-20,2006-11,20061101
2016,4,Colorado,Water,Legionella pneumophila;Legionella pneumophila,serogroup 1;serogroup 6,Confirmed;Confirmed,Hotel/motel,5,3,5,0,5,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,,bba544bf0c697dbd,2024-12-20,2016-04,20160401
2013,1,Illinois,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,3,0,3,0,3,,,,,,,bbac1bac6803c458,2024-12-20,2013-01,20130101
2023,4,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,bbad74fd8c06d08c,2024-12-20,2023-04,20230401
2017,5,Colorado,Food,Clostridium perfringens,,Suspected,Caterer,36,0,0,0,0,Barbacoa meat,,Multiple,,,,bbaede115c87d3c2,2024-12-20,2017-05,20170501
2017,11,Wisconsin,Person-to-person,Sapovirus,,Suspected,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,bbaedf6d55f0b563,2024-12-20,2017-11,20171101
2019,1,Pennsylvania,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,78,2,78,0,78,,,,,,,bbaf72f64a32e213,2024-12-20,2019-01,20190101
1988,9,Washington,Water,Hepatitis A,,Confirmed,Mobile home/trailer park,9,1,,0,,,,,Drinking water,Community,,bbb037b65d66c368,2024-12-20,1988-09,19880901
2007,12,Florida,Food,,,,Restaurant: Other,2,,,,,pizza,,Multiple,,,,bbb0da8db01a2771,2024-12-20,2007-12,20071201
2015,5,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,,bbb1366161b1943b,2024-12-20,2015-05,20150501
2001,4,Florida,Food,Shigella unknown,,Suspected,Restaurant: Other,2,1,2,,,"ground beef, cheeseburger",,Beef,,,,bbb16e7fb5924a23,2024-12-20,2001-04,20010401
2012,12,Connecticut,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,23,0,23,0,23,,,,,,,bbb1ca1b927f9bea,2024-12-20,2012-12,20121201
2006,6,Washington,Food,,,,Restaurant: Other,5,0,5,0,5,lettuce-based salads unspecified,,Multiple,,,,bbb2c8b43c278a63,2024-12-20,2006-06,20060601
2005,5,South Dakota,Water,Legionella pneumophila,serogroup 1,Confirmed,Restaurant,18,14,,1,,,,,Other/Environmental water,,,bbb38b14158242ab,2024-12-20,2005-05,20050501
2000,2,Florida,Food,,,,Restaurant: Other,2,0,2,0,2,"soup, french onion",,Multiple,,,,bbb598184ec0430f,2024-12-20,2000-02,20000201
2014,3,Puerto Rico,Person-to-person,,,,School/college/university,13,2,13,0,13,,,,,,,bbb5a56fd41f1e64,2024-12-20,2014-03,20140301
2020,1,Ohio,Food,Norovirus,,Suspected,Caterer,13,0,13,0,13,,,,,,,bbb61e23ea2dabb0,2024-12-20,2020-01,20200101
2003,12,Kansas,Food,Norovirus unknown,,Confirmed,Restaurant: Other,25,0,25,0,25,"salsa, unspecified;chips, tortilla",,Multiple,,,,bbb78ea798e781ae,2024-12-20,2003-12,20031201
2023,5,Kansas,Indeterminate/unknown,Salmonella enterica,"I 4,[5],12:b:- var. L(+) tartrate +",Confirmed,Unknown,8,5,7,,0,,,,,,,bbb7ca5b70b92f06,2024-12-20,2023-05,20230501
2017,9,Michigan,Person-to-person,Norovirus,,Suspected,Correctional/detention facility,18,0,18,0,18,,,,,,,bbb7ee8345b0db0e,2024-12-20,2017-09,20170901
2018,8,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,5,0,5,,,,,,,bbbab1b7e3c2d8f3,2024-12-20,2018-08,20180801
2016,12,New York,Person-to-person,Norovirus,,Suspected,,7,,,,,,,,,,,bbbcdf0098b1cd7e,2024-12-20,2016-12,20161201
2021,12,Illinois,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,20,0,0,0,0,,,,,,,bbbe10be45f0fc4e,2024-12-20,2021-12,20211201
2012,2,Arizona,Food,,,,Restaurant: Sit-down dining,9,0,9,0,9,greek salad,,Multiple,,,,bbbf2a3918f9d35d,2024-12-20,2012-02,20120201
2013,9,New York,Person-to-person,Norovirus,,Suspected,,4,,,,,,,,,,,bbbf42afd7d34cd2,2024-12-20,2013-09,20130901
2006,12,Washington,Food,Norovirus Genogroup I,,Suspected,Restaurant: Other,18,0,18,0,18,Cheesecake,,Multiple,,,,bbbfb0aa57ce4183,2024-12-20,2006-12,20061201
2022,9,Colorado,Person-to-person,Norovirus unknown,,Suspected,School/college/university,63,0,63,0,63,,,,,,,bbbfffb78f19cf04,2024-12-20,2022-09,20220901
2001,8,Illinois,Food,Bacillus cereus;Clostridium perfringens,,Suspected;Suspected,Restaurant: Other,15,0,15,0,15,,,,,,,bbc0d3d8a674db00,2024-12-20,2001-08,20010801
2000,6,Kentucky,Food,Salmonella enterica,Group D1,Confirmed,Restaurant: Other,14,5,14,0,14,,,,,,,bbc2396b9b93d12a,2024-12-20,2000-06,20000601
2017,10,Arizona,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,bbc3a3bac8ec1ca9,2024-12-20,2017-10,20171001
2019,8,Minnesota,Animal contact,Salmonella enterica,Typhimurium,Confirmed,Veterinary clinic,2,1,2,0,2,,,,,,Horse or pony,bbc551f7b12de6ab,2024-12-20,2019-08,20190801
2011,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,34,2,34,0,34,,,,,,,bbc7fbf7b03d2024,2024-12-20,2011-01,20110101
2013,3,Minnesota,Person-to-person,Norovirus,,Suspected,School/college/university,50,0,0,0,0,,,,,,,bbc825dbfbc81b41,2024-12-20,2013-03,20130301
2023,2,Virginia,Person-to-person,Norovirus unknown,,Suspected,Office/indoor workplace,10,0,10,0,10,,,,,,,bbc8c4d8ea4ad56d,2024-12-20,2023-02,20230201
2016,9,Connecticut,Food,Salmonella enterica,Newport,Confirmed,Restaurant: Sit-down dining,6,3,6,0,6,,,,,,,bbca70ddf0463663,2024-12-20,2016-09,20160901
1998,7,North Carolina,Food,Scombroid toxin,,Confirmed,Restaurant: Other,12,,,,,tuna burger,,Multiple,,,,bbcb8b014424e1c3,2024-12-20,1998-07,19980701
2019,6,Texas,Water,Cryptosporidium unknown,,Confirmed,Unknown,3,0,0,0,0,,,,Drinking water,Unknown,,bbccc498aeb30075,2024-12-20,2019-06,20190601
2015,2,New York,Person-to-person,,,,,18,,,,,,,,,,,bbcd16dd04ce1229,2024-12-20,2015-02,20150201
2013,4,Montana,Person-to-person,Norovirus Genogroup II,GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,33,1,33,0,33,,,,,,,bbcdb33d1ffb4ec3,2024-12-20,2013-04,20130401
2000,8,Colorado,Food,Vibrio parahaemolyticus,,Confirmed,Restaurant: Other,4,,,,,"oysters, raw",,Mollusks,,,,bbcdd0f13d0de715,2024-12-20,2000-08,20000801
2018,8,Illinois,Food,Campylobacter,,Confirmed,Restaurant: Sit-down dining,2,0,0,0,0,quail,,Game,,,,bbcdfbafab0bda99,2024-12-20,2018-08,20180801
1999,3,Florida,Food,,,,Restaurant: Other,3,,,,,"unspecified fish;rice, unspecified",,Multiple,,,,bbd002c1a92299b1,2024-12-20,1999-03,19990301
2019,4,South Carolina,Food,Norovirus Genogroup II;Norovirus Genogroup II,GII.P4 New Orleans GII.4 untypeable;unknown,Confirmed;Suspected,Restaurant: Sit-down dining,9,0,8,0,8,Salads,,Multiple,,,,bbd090b57cd42e27,2024-12-20,2019-04,20190401
2020,1,Rhode Island,Person-to-person,Norovirus unknown,,Suspected,Hospital,5,0,5,0,5,,,,,,,bbd11d5e61cbeeb7,2024-12-20,2020-01,20200101
2012,2,Kansas,Person-to-person,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Long-term care/nursing home/assisted living facility,48,1,48,0,48,,,,,,,bbd13bc2b724b30d,2024-12-20,2012-02,20120201
2022,2,Colorado,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,bbd195f50df0574e,2024-12-20,2022-02,20220201
2012,7,Minnesota,Person-to-person,Shigella sonnei,,Confirmed,Child daycare/preschool,4,0,4,0,4,,,,,,,bbd196e34ebb879c,2024-12-20,2012-07,20120701
2012,2,Vermont,Person-to-person,,,,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,bbd1d24c373bbfa9,2024-12-20,2012-02,20120201
2013,2,North Carolina,Person-to-person,Norovirus unknown,,Suspected,,53,1,53,0,53,,,,,,,bbd2b2f9d9779f82,2024-12-20,2013-02,20130201
2003,8,Illinois,Food,Salmonella enterica,Heidelberg,Confirmed,Restaurant: Other,4,2,4,0,4,"pie, cream",,Multiple,,,,bbd35baff27f7117,2024-12-20,2003-08,20030801
2023,11,Oregon,Person-to-person,,,,Child daycare/preschool,7,0,0,0,0,,,,,,,bbd3d9e2e3098caa,2024-12-20,2023-11,20231101
2013,5,New York,Person-to-person,Norovirus,,Suspected,,15,,,,,,,,,,,bbd3dbaf7c418d82,2024-12-20,2013-05,20130501
2009,12,New York,Person-to-person,Norovirus,,Suspected,,9,,,,,,,,,,,bbd551677c815281,2024-12-20,2009-12,20091201
2021,12,Nebraska,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,bbd59152c397e7c2,2024-12-20,2021-12,20211201
2019,12,Indiana,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,17,0,17,0,17,,,,,,,bbd5b1755a44e967,2024-12-20,2019-12,20191201
2013,6,Alaska,Indeterminate/unknown,Salmonella enterica,Enteritidis,Confirmed,,4,1,4,0,4,,,,,,,bbd5ce90283743be,2024-12-20,2013-06,20130601
2017,1,North Carolina,Person-to-person,Shigella,,Confirmed,School/college/university,7,0,7,0,7,,,,,,,bbd67e748f284521,2024-12-20,2017-01,20170101
2017,3,Nebraska,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,11,1,11,0,11,,,,,,,bbd6f9db64cb61a5,2024-12-20,2017-03,20170301
2009,3,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Hospital,15,0,0,0,15,,,,,,,bbd7a850788aa10f,2024-12-20,2009-03,20090301
2014,11,Multistate,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant: Fast-food (drive up service or pay at counter),11,2,9,0,11,salad,leaf lettuce,Vegetable Row Crops,,,,bbd7d7318192d5aa,2024-12-20,2014-11,20141101
2023,11,Utah,Indeterminate/unknown,Salmonella enterica,Marina,Confirmed,Hospital,3,3,3,1,3,,,,,,,bbd7fc55fe553fa1,2024-12-20,2023-11,20231101
2017,8,Nebraska,Person-to-person,Norovirus Genogroup II,GII.P21 GII.3,Confirmed,Long-term care/nursing home/assisted living facility,22,2,22,0,22,,,,,,,bbd8b4526f11d989,2024-12-20,2017-08,20170801
2014,9,Tennessee,Indeterminate/unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Event space,2,2,2,0,2,,,,,,,bbd8e4092a3de798,2024-12-20,2014-09,20140901
2012,12,Puerto Rico,Water,Norovirus unknown,,Suspected,Park - Community/Municipal,18,4,17,0,18,,,,Recreational water -- treated,Splash Pad/Interactive Fountain /Water Playground,,bbda3fda909819e5,2024-12-20,2012-12,20121201
2012,1,Virginia,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,68,0,68,0,68,,,,,,,bbdcec8f8055c0b9,2024-12-20,2012-01,20120101
2012,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,13,0,0,0,0,,,,,,,bbde61b3b16c1550,2024-12-20,2012-01,20120101
1998,3,North Carolina,Food,Salmonella enterica,,Confirmed,Other,9,,,,,,,,,,,bbde721deb30a76a,2024-12-20,1998-03,19980301
2016,2,Kentucky,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,65,0,0,0,0,,,,,,,bbdfba2efcf9e1c4,2024-12-20,2016-02,20160201
2010,5,Alabama,Food,,,,Restaurant: Sit-down dining,9,0,9,0,9,,,,,,,bbe11baacba7294e,2024-12-20,2010-05,20100501
2013,12,Oregon,Person-to-person,Norovirus unknown,,Confirmed,Hospital,16,,16,,16,,,,,,,bbe386e12bbe422a,2024-12-20,2013-12,20131201
2016,4,Florida,Food,Cryptosporidium parvum,IIaA15G2R1,Confirmed,Farm/dairy/agricultural setting,3,0,3,0,3,Raw Milk,raw milk,Dairy,,,,bbe4d98002ec3f1d,2024-12-20,2016-04,20160401
2000,2,Guam,Food,Bacillus cereus,,Confirmed,Caterer,2,0,2,0,2,"red, rice",,Grains-beans,,,,bbe4d9b28ec86698,2024-12-20,2000-02,20000201
2013,10,Alaska,Food,Clostridium perfringens,,Suspected,Restaurant: Sit-down dining,3,0,3,0,3,Beans and rice,,Multiple,,,,bbe523bc810f2a5a,2024-12-20,2013-10,20131001
2023,4,Colorado,Person-to-person,Norovirus unknown;Norovirus Genogroup II,,Suspected;Suspected,Hospital,12,1,12,0,12,,,,,,,bbe5ce8aed1b6fee,2024-12-20,2023-04,20230401
2007,1,Illinois,Food,,,,Restaurant: Other,6,1,6,0,6,,,,,,,bbe722acf908f450,2024-12-20,2007-01,20070101
2014,1,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Restaurant: Sit-down dining,14,0,14,0,14,"sandwich, ham",ham;bread,Multiple,,,,bbe880b2be18e1cf,2024-12-20,2014-01,20140101
2013,2,New Hampshire,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,68,0,68,0,68,,,,,,,bbe957ef85fe08cc,2024-12-20,2013-02,20130201
2005,3,Ohio,Food,Norovirus Genogroup I,,Confirmed,Grocery store/bakery/deli/convenience store,3,,,,,,,,,,,bbea043ad9cc4bc6,2024-12-20,2005-03,20050301
2019,12,Utah,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,,bbec9987be79bcf4,2024-12-20,2019-12,20191201
2016,3,Rhode Island,Person-to-person,Norovirus unknown;Norovirus Genogroup II,unknown,Confirmed;Confirmed,Long-term care/nursing home/assisted living facility,31,1,31,0,31,,,,,,,bbee2a5b4cdb7539,2024-12-20,2016-03,20160301
2015,9,Indiana,Person-to-person,Cryptosporidium unknown,,Confirmed,Child daycare/preschool,2,0,2,0,2,,,,,,,bbf0744f32debefb,2024-12-20,2015-09,20150901
2023,2,Oregon,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,24,1,10,0,10,,,,,,,bbf0ba6ba5d9c6f0,2024-12-20,2023-02,20230201
2008,6,California,Food,,,,Restaurant: Other,2,0,2,0,2,,,,,,,bbf3ef6ab6bb2be8,2024-12-20,2008-06,20080601
