form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,sample_key,sample_source_key
101173614,590285268,3545,P961,HC_TU_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101173614-590285268,0003
101174936,590285300,6036,P6164A,HC_CPT_LBW01,2015-10-01,c. Wing,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101174936-590285300,0010
101175189,210180462,5791,M9211+P9211,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,,,,,,,,,,20151001,2016,Negative,Y,0,,N,0,,101175189-210180462,0010
101180043,590285301,4516,P7342+V7342,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101180043-590285301,0001
101184314,210180475,6847,M9977+P1325,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101184314-210180475,0001
101184552,210180464,144,M7460+P7460,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Positive,,,,,,,,,20151001,2016,Negative,Y,0,Positive,Y,1,1 mL,101184552-210180464,0010
101185304,210180668,4507,P758,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101185304-210180668,0001
101187180,210180470,1581,P1525,HC_CPT_LBW01,2015-10-01,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101187180-210180470,0010
101187459,590285315,291,P19871,HC_CPT_LBW01,2015-10-01,a. Breast,00,,Positive,,,,,,,,Negative,,,,,,,,,20151001,2016,Positive,Y,1,Negative,Y,0,1 mL,101187459-590285315,0010
101189295,853224803,562,P445,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Positive,,,,,,,,Negative,,,,,,,,,20151001,2016,Positive,Y,1,Negative,Y,0,1 mL,101189295-853224803,0010
101189865,590285312,12965,M34715+P34715,HC_CPT_LBW01,2015-10-01,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101189865-590285312,0010
101190090,590285266,6403,P460+V460,HC_TU_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101190090-590285266,0003
101190384,590285307,3890,P7264+V7264,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101190384-590285307,0001
101191030,210180471,3901,M13456+P13456+V13456,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101191030-210180471,0001
101191479,590285352,3856,P705,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101191479-590285352,0008
101191551,590285294,750,P19128,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101191551-590285294,0001
101192155,590285454,13550,M2676+P2676,HC_CPT_LBW01,2015-10-01,a. Breast,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101192155-590285454,0010
101192157,590285296,3856,P705,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101192157-590285296,0001
101193485,590285283,4487,P308,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101193485-590285283,0001
101193515,590285310,578,P510,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101193515-590285310,0001
101193517,590285290,4515,P6666,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Positive,,,,,,,,Negative,,,,,,,,,20151001,2016,Positive,Y,1,Negative,Y,0,1 mL,101193517-590285290,0010
101193562,590285298,63,P2686,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101193562-590285298,0001
101193643,590285287,126027,P46091,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101193643-590285287,0001
101193718,590285273,734,P18285,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101193718-590285273,0001
101193894,590285324,5854,M18994+P18994,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Positive,,,,,,,,,20151001,2016,Negative,Y,0,Positive,Y,1,1 mL,101193894-590285324,0010
101194389,590285291,3839,P550,HC_CPT_LBW01,2015-10-01,c. Wing,00,,Positive,,,,,,,,Positive,,,,,,,,,20151001,2016,Positive,Y,1,Positive,Y,1,1 mL,101194389-590285291,0010
101194433,590285313,3851,P208+V208,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194433-590285313,0010
101194543,853224804,3850,P165S+V165S,HC_CPT_LBW01,2015-10-01,c. Wing,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194543-853224804,0010
101194569,590285326,5131,P312,HC_TU_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194569-590285326,0003
101194586,590285451,3570,P1315,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194586-590285451,0010
101194590,590285288,12513,M34145+P34145,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194590-590285288,0001
101194670,853224802,4518,P7485+V7485,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Positive,,,,,,,,,20151001,2016,Negative,Y,0,Positive,Y,1,1 mL,101194670-853224802,0010
101194736,853224796,4141,P206+V206,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194736-853224796,0001
101194767,210180667,4496,P6504,HC_CPT_LBW01,2015-10-01,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101194767-210180667,0010
101194794,590285463,124047,M1633A+P17764A,HC_TU_COM01,2015-10-01,b. raw turkey sausage (including links and sausage patties),00,,Negative,,,,,,,,Negative,,Negative,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,30 mL,101194794-590285463,0009
101195016,590285277,2251,P806,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195016-590285277,0001
101195079,590285282,562,P445,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195079-590285282,0001
101195468,590285269,124228,P45131,HC_TU_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195468-590285269,0003
101195598,590285275,123881,P44974+V44974,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195598-590285275,0001
101195611,590285281,4518,P7485+V7485,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195611-590285281,0001
101195656,590285302,3883,P7156+V7156,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195656-590285302,0001
101195785,590285293,580,P713,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195785-590285293,0001
101195870,590285449,3842,M13289+P963,HC_TU_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195870-590285449,0003
101195906,590285457,3853,P481,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195906-590285457,0001
101195912,590285270,6421,P1304,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101195912-590285270,0001
101197014,590285267,9259,M27389+P27389+V27389,HC_TU_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101197014-590285267,0003
101197051,210180467,2238,P171,HC_CPT_LBW01,2015-10-01,c. Wing,00,,Positive,,,,,,,,Positive,,,,,,,,,20151001,2016,Positive,Y,1,Positive,Y,1,1 mL,101197051-210180467,0010
101197206,590285286,7855,P21234,HC_CH_CARC01,2015-10-01,,00,,Negative,,,,,,,,Negative,,,,,,,,,20151001,2016,Negative,Y,0,Negative,Y,0,1 mL,101197206-590285286,0001
