form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
102031423,210419786,3578,M2140+P2140+V2140,LO_CH_COM01,2018-10-01,"e. other raw comminuted products (other non-breaded, non-battered comminuted products, but not including mechanically separated product)",00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102031423-210419786,0008
102032746,590508415,1840,P18978,F_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,,,,,,,,20181001,2019,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102032746-590508415,0001
102033118,590508414,124559,P9378+V9378,LO_CPT_OT01,2018-10-01,e. Gizzard (split),00,,Negative,,,,,,,,Positive,,,,,,,,,20181001,2019,Negative,Y,0,Positive,Y,1,1 mL,,,,,,,,,,,,,,,,,102033118-590508414,0010
102038000,590508418,9753,M38494+P32145+V32145,F_CPT_LBW01,2018-10-01,a. Breast,00,,Negative,,,,,,,,,,,,,,,,,20181001,2019,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102038000-590508418,0010
102038201,590508703,9753,M38494+P32145+V32145,F_CPT_LBW01,2018-10-01,a. Breast,00,,Negative,,,,,,,,,,,,,,,,,20181001,2019,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102038201-590508703,0010
102039408,210419782,6516,M5351+P5351,LO_TU_COM01,2018-10-01,a. ground product,00,,Negative,,,,,,,,,,Positive,,,,,,,20181001,2019,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,102039408-210419782,0009
102040087,210420073,2823,M2902+P2902,F_CPT_LBW01,2018-10-01,c. Wing,00,,Negative,,,,,,,,,,,,,,,,,20181001,2019,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102040087-210420073,0010
102040806,590508416,5343,P8107+V8107,F_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,,,,,,,,20181001,2019,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102040806-590508416,0001
102041335,853342798,4516,P7342+V7342,HC_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102041335-853342798,0001
102041541,210419780,496,M18726+P18726,HC_TU_COM01,2018-10-01,b. raw turkey sausage (including links and sausage patties),00,,Positive,,,,,,,,,,Negative,,,,,,,20181001,2019,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102041541-210419780,0009
102041875,590508384,4530,P18557,HC_CPT_LBW01,2018-10-01,b. Leg,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102041875-590508384,0010
102041942,590508387,4783,M20322+P20322,HC_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102041942-590508387,0001
102042031,590508409,5778,M7696+P7696,LO_CH_COM01,2018-10-01,a. ground product,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102042031-590508409,0008
102042084,210419783,2019,M7464+P7464,HC_TU_COM01,2018-10-01,b. raw turkey sausage (including links and sausage patties),00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102042084-210419783,0009
102042635,853342817,3842,M13289+P963,HC_TU_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102042635-853342817,0003
102042643,590508407,3431,P7669,HC_TU_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102042643-590508407,0003
102042810,210419728,2111,P17340,HC_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Positive,,,,,,,20181001,2019,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,102042810-210419728,0001
102042947,590508621,9420,P20699A,HC_CPT_LBW01,2018-10-01,b. Leg,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102042947-590508621,0010
102043016,210419777,4807,M751+P1049,HC_TU_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102043016-210419777,0003
102043078,590508678,3650,M5562+P5562+V5562,HC_CH_COM01,2018-10-01,a. ground chicken,00,,Positive,,,,,,,,,,Negative,,,,,,,20181001,2019,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102043078-590508678,0008
102043101,590508651,3833,P165H,HC_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102043101-590508651,0001
102043116,590508413,5333,P7632,EXP_CPT_OT01,2018-10-01,c. Heart,00,,Negative,,,,,,,,Negative,,,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,102043116-590508413,0010
102043130,853342816,750,P19128,HC_CH_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102043130-853342816,0001
102043204,210419766,4513,P6616+V6616,HC_CPT_LBW01,2018-10-01,a. Breast,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102043204-210419766,0010
102044065,590508396,6162129,P5840,HC_CPT_LBW01,2018-10-01,a. Breast,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102044065-590508396,0010
102044352,210420019,4530,P18557,HC_CPT_LBW01,2018-10-01,c. Wing,00,,Negative,,,,,,,,,,Positive,,,,,,,20181001,2019,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,102044352-210420019,0010
102044702,853342800,6390,P533,LO_CPT_LBW01,2018-10-01,a. Breast,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102044702-853342800,0010
102044709,853343152,3854,P511,HC_TU_CARC01,2018-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102044709-853343152,0003
102044734,590508390,9259,M27389+P27389+V27389,HC_CPT_LBW01,2018-10-01,b. Leg,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102044734-590508390,0010
102044813,210419718,2250,P764,HC_CPT_LBW01,2018-10-01,b. Leg,00,,Negative,,,,,,,,,,Negative,,,,,,,20181001,2019,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102044813-210419718,0010
102044865,590508385,328,M1887+P1887,HC_CPT_LBW01,2018-10-01,a. Breast,00,,Positive,,,,,,,,,,Negative,,,,,,,20181001,2019,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102044865-590508385,0010
