form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
102528835,210600879,1108,M4653+P4653,F_CPT_LBW01,2020-10-01,Leg,00,,Negative,,,,,,,,,,,,,,,,,20201001,2021,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102528835-210600879,0010
102550445,853447018,4368,M13590+P13590,F_CPT_LBW01,2020-10-01,Leg,00,,Negative,,,,,,,,,,,,,,,,,20201001,2021,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102550445-853447018,0010
102551653,210600881,6162377,P45819,F_CH_CARC01,2020-10-01,,00,,Negative,,,,,,,,,,,,,,,,,20201001,2021,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102551653-210600881,0001
102561946,853447017,60,P2632,F_CH_CARC01,2020-10-01,,00,,Negative,,,,,,,,,,,,,,,,,20201001,2021,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102561946-853447017,0001
102562577,210600997,5112,M18909+P157,F_CH_COM01,2020-10-01,,00,,Positive,,,,,,,,,,,,,,,,,20201001,2021,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,102562577-210600997,0008
102562671,590659198,4141,P206+V206,F_CPT_LBW01,2020-10-01,Leg,00,,Negative,,,,,,,,,,,,,,,,,20201001,2021,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102562671-590659198,0008
102564024,590659194,2278,P2178,HC_CH_COM01,2020-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20201001,2021,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102564024-590659194,0008
102564045,590659189,3119,M8983+P8983,HC_TU_COM01,2020-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20201001,2021,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102564045-590659189,0009
102564050,590659417,3841,P768+V768,HC_CPT_LBW01,2020-10-01,Leg,00,,Negative,,,,,,,,,,Negative,,,,,,,20201001,2021,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102564050-590659417,0010
102564086,590659148,578,P510,HC_CPT_LBW01,2020-10-01,Wing,00,,Negative,,,,,,,,,,Negative,,,,,,,20201001,2021,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102564086-590659148,0010
