form_id,sample_number,establishment_id,establishment_number,establishment_state,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
100913289,590227485,5401,P9332A,CA,NRTE_EXP_TU,2014-10-01,d. ground turkey,00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100913289-590227485,0006
100916284,210114778,39,P910,GA,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100916284-210114778,0006
100916461,590227486,3261,M443+P443+V443,NE,NRTE_EXP_CH,2014-10-01,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100916461-590227486,0006
100916684,210114529,12540,P33833+V33833,MS,NRTE_EXP_CH,2014-10-01,a. ground chicken,00,,Positive,,,,,,,,Negative,,Positive,,,,,,,20141001,2015,Positive,Y,1,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,100916684-210114529,0006
100917605,853185390,6058,M6308A+P6308A,OR,NRTE_EXP_CH,2014-10-01,a. ground chicken,00,,Negative,,,,,,,,Negative,,Negative,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100917605-853185390,0006
100917686,853185394,7674,P312A,CA,NRTE_EXP_TU,2014-10-01,d. ground turkey,00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100917686-853185394,0006
100918539,853185400,29,P476,GA,SPECPGM_02B,2014-10-01,e. Other chicken part(s),00,,Negative,,,,,,,,,,,,,,,,,20141001,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100918539-853185400,0010
100918545,210114782,245,P18873,GA,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,,,,,,,Positive,,,,,,,,,20141001,2015,Positive,Y,1,Positive,Y,1,1 mL,,,,,,,,,,,,,,,,,100918545-210114782,0006
100918558,210114520,578,P510,NC,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00        ,,Positive,,,,,,,,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100918558-210114520,0006
100918564,853185545,4141,P206+V206,TX,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,1.2,,31200,,,Positive,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,1.2,,,,,,,,,,,,,,,,100918564-853185545,0006
100918566,853185393,3373,M5579+P5579,IA,NRTE_EXP_CH,2014-10-01,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100918566-853185393,0006
100918634,210114543,29,P476,GA,SPECPGM_02B,2014-10-01,e. Other chicken part(s),00,,Positive,,,,,,,,,,,,,,,,,20141001,2015,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,100918634-210114543,0010
100918678,590227495,5308,M6137+P6137,CA,SPECPGM_02,2014-10-01,c. Chicken drumstick,00,,Negative,,,,,,,,,,,,,,,,,20141001,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100918678-590227495,0010
100918695,853185397,6516,M5351+P5351,NJ,NRTE_EXP_TU,2014-10-01,"f. other comminuted turkey (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100918695-853185397,0006
100918733,590227474,5903,M20820+P20820,CA,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,,,,,,,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100918733-590227474,0006
100918844,853185395,9580,P31881+V31881,MS,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,> 1100,,33333,,,Positive,Positive,,,,,,,,,20141001,2015,Positive,Y,1,Positive,Y,1,1 mL,1100,>,,,,,,,,,,,,,,,100918844-853185395,0006
100918926,590227493,29,P476,GA,SPECPGM_02B,2014-10-01,e. Other chicken part(s),00,,Negative,,,,,,,,,,,,,,,,,20141001,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100918926-590227493,0010
100918994,590227479,4491,P559,AL,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,,,,,,,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100918994-590227479,0006
100919075,210114522,60,P2632,FL,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,,,,,,,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919075-210114522,0006
100919127,210114635,118,M6744+P6744,PR,NRTE_EXP_CH,2014-10-01,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Negative,,,,,,,,Negative,,Negative,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100919127-210114635,0006
100919263,590227488,9836,M33861+P33861,TX,NRTE_EXP_CH,2014-10-01,a. ground chicken,00,,Positive,,,,,,,,Negative,,Negative,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100919263-590227488,0006
100919367,853185398,29,P476,GA,SPECPGM_02B,2014-10-01,e. Other chicken part(s),00,,Negative,,,,,,,,,,,,,,,,,20141001,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100919367-853185398,0010
100919516,590227669,2643,P7769,IN,NRTE_EXP_TU,2014-10-01,d. ground turkey,00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919516-590227669,0006
100919574,210114509,171,M9137+P9137,GA,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,,,,,,,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919574-210114509,0006
100919653,210114784,2251,P806,VA,NRTE_EXP_CH,2014-10-01,b. mechanically separated chicken,00,,Positive,,,,,,,,Negative,,,,,,,,,20141001,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919653-210114784,0006
100919705,853185547,6488,P244+V244A,PA,NRTE_EXP_TU,2014-10-01,d. ground turkey,00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919705-853185547,0006
100919711,210114781,8371,P22000,NC,NRTE_EXP_TU,2014-10-01,e. mechanically separated turkey,00,,Negative,,,,,,,,Negative,,,,,,,,,20141001,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919711-210114781,0006
100886429,590227861,5308,M6137+P6137,CA,SPECPGM_02,2014-10-02,b. Chicken thigh,00,,Negative,,,,,,,,,,,,,,,,,20141002,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100886429-590227861,0010
100891287,590227683,5704,M4846+P4846,CA,NRTE_EXP_CH,2014-10-02,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Positive,,,,,,,,Negative,,,,,,,,,20141002,2015,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100891287-590227683,0006
100910541,590227675,5846,M18823+P18823+V18823,CA,NRTE_EXP_CH,2014-10-02,a. ground chicken,00,,Positive,,,,,,,,Negative,,Negative,,,,,,,20141002,2015,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100910541-590227675,0006
100917524,210114864,100,M6692+P6692,PR,NRTE_EXP_CH,2014-10-02,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Negative,,,,,,,,Negative,,Negative,,,,,,,20141002,2015,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100917524-210114864,0006
100918939,590227673,4507,P758,MS,NRTE_EXP_CH,2014-10-02,b. mechanically separated chicken,00,,Negative,,,,,,,,Negative,,,,,,,,,20141002,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100918939-590227673,0006
100919674,210114862,5969,M1515A+P6121A,WA,NRTE_EXP_TU,2014-10-02,"f. other comminuted turkey (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00,,Negative,,,,,,,,Negative,,,,,,,,,20141002,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919674-210114862,0006
100919704,590227690,29,P476,GA,SPECPGM_02B,2014-10-02,e. Other chicken part(s),00,,Negative,,,,,,,,,,,,,,,,,20141002,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100919704-590227690,0010
100919731,210114779,9551,P1096A,VA,NRTE_EXP_TU,2014-10-02,d. ground turkey,00,,Negative,,,,,,,,Negative,,,,,,,,,20141002,2015,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100919731-210114779,0006
100919763,853185548,3833,P165H,OK,NRTE_EXP_CH,2014-10-02,b. mechanically separated chicken,00,,Positive,,23,,33300,,,Positive,Positive,,,,,,,,,20141002,2015,Positive,Y,1,Positive,Y,1,1 mL,23,,,,,,,,,,,,,,,,100919763-853185548,0006
100919791,853185554,4489,P517,MS,SPECPGM_02B,2014-10-02,e. Other chicken part(s),00,,Negative,,,,,,,,,,,,,,,,,20141002,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100919791-853185554,0010
100919837,590227676,7811,M21207+P21207+V21207,MN,NRTE_EXP_CH,2014-10-02,a. ground chicken,00,,Negative,,,,,,,,Negative,,Negative,,,,,,,20141002,2015,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100919837-590227676,0006
100919876,210114785,9849,M33814+P33814+V33814,NY,NRTE_EXP_CH,2014-10-02,a. ground chicken,00,,Negative,,,,,,,,Negative,,Negative,,,,,,,20141002,2015,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,100919876-210114785,0006
100919959,210114804,29,P476,GA,SPECPGM_02B,2014-10-02,e. Other chicken part(s),00,,Negative,,,,,,,,,,,,,,,,,20141002,2015,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,100919959-210114804,0010
100920008,853185549,4746,P18863+V18863,MS,NRTE_EXP_CH,2014-10-02,b. mechanically separated chicken,00,,Positive,,0.092,,20000,,,Positive,Negative,,,,,,,,,20141002,2015,Positive,Y,1,Negative,Y,0,1 mL,0.092,,,,,,,,,,,,,,,,100920008-853185549,0006
