form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
102276337,210509171,9852,M33831+P33831+V33831,F_CH_CARC01,2019-10-01,,00,,Positive,,,,,,,,,,,,,,,,,20191001,2020,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,102276337-210509171,0001
102296363,853390999,665,M7900+P7900,F_CPT_LBW01,2019-10-01,Wing,00,,Negative,,,,,,,,,,,,,,,,,20191001,2020,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102296363-853390999,0010
102298479,590583341,9753,M38494+P32145+V32145,F_CPT_LBW01,2019-10-01,Breast,00,,Negative,,,,,,,,,,,,,,,,,20191001,2020,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102298479-590583341,0010
102299953,590583344,9753,M38494+P32145+V32145,F_CPT_LBW01,2019-10-01,Breast,00,,Negative,,,,,,,,,,,,,,,,,20191001,2020,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102299953-590583344,0010
102300717,853391000,3906,P13584+V13584,F_CPT_LBW01,2019-10-01,Breast,00,,Negative,,,,,,,,,,,,,,,,,20191001,2020,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102300717-853391000,0010
102301326,853391229,8354,M21838+P21838,F_CPT_LBW01,2019-10-01,Breast,00,,Negative,,,,,,,,,,,,,,,,,20191001,2020,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102301326-853391229,0010
102301408,210509167,3906,P13584+V13584,F_CPT_LBW01,2019-10-01,Breast,00,,Negative,,,,,,,,,,,,,,,,,20191001,2020,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102301408-210509167,0008
102301855,590583343,8354,M21838+P21838,F_CPT_LBW01,2019-10-01,Breast,00,,Positive,,,,,,,,,,,,,,,,,20191001,2020,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,102301855-590583343,0010
102302116,590583288,13257,P33900+V33900,HC_CPT_LBW01,2019-10-01,Breast,00,,Negative,,,,,,,,,,Negative,,,,,,,20191001,2020,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102302116-590583288,0010
102302120,210509079,13257,P33900+V33900,HC_CH_CARC01,2019-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20191001,2020,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102302120-210509079,0001
102302135,853390987,4496,P6504,HC_CH_CARC01,2019-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20191001,2020,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102302135-853390987,0001
102302160,590583254,9855,M33890+P33885,HC_CPT_LBW01,2019-10-01,Leg,00,,Negative,,,,,,,,,,Negative,,,,,,,20191001,2020,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102302160-590583254,0010
102302166,590583290,750,P19128,HC_CH_CARC01,2019-10-01,,00,,Positive,,,,,,,,,,Negative,,,,,,,20191001,2020,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102302166-590583290,0001
