form_id,sample_number,establishment_id,establishment_number,establishment_state,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
103274153,300464147,2160,P19112,KY,HC_CH_CARC01,2023-10-01,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231001,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274153-300464147,0001
103276274,300464556,3879,P7085+V7085,OK,HC_CPT_LBW01,2023-10-01,Breast,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,73,,,,,20231001,2024,Negative,Y,0,,N,0,,,,,,,,73,,,,,,,,,,103276274-300464556,0010
103278617,300464137,4505,P519,MS,HC_CH_CARC01,2023-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231001,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103278617-300464137,0001
103254445,300464993,4538,P164,MS,F_CH_CARC01,2023-10-02,,00,,Positive,,,,,,,,,,,,,,,,,20231002,2024,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,103254445-300464993,0001
103262383,300464165,6166664,P47998+V47998,IA,F_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103262383-300464165,0001
103263849,300464163,6164432,M46563+P46563,IL,F_CPT_LBW01,2023-10-02,Leg,00,,Positive,,,,,,,,,,,,,,,,,20231002,2024,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,103263849-300464163,0010
103265306,300464596,2091,P15724+V15724,OH,F_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103265306-300464596,0001
103267904,300464107,2208,P20604+V20604,OH,F_CH_COM01,2023-10-02,,00,,Negative,,,,,,,,,,,,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103267904-300464107,0008
103273909,300465946,123397,P44826,OH,F_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,,,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103273909-300465946,0008
103274009,300465794,13729,P40183,NC,HC_CPT_LBW01,2023-10-02,Wing,00,,Positive,,,,,,<10,,,,,86 Sample not selected for Campylobacter analysis,855,,,,,20231002,2024,Positive,Y,1,,N,0,,,,,,10,<,855,,,,,,,,,,103274009-300465794,0010
103274055,300465364,6164265,P1949,AR,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Positive,,,,,,,20231002,2024,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,103274055-300465364,0001
103274061,300464895,3880,M7100+P7100+V7100,AR,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103274061-300464895,0001
103274095,300464061,3841,P768+V768,AR,HC_CPT_LBW01,2023-10-02,Leg,00,,Negative,,,,,,,,,,Negative,,<10,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,10,<,,,,,,,,,103274095-300464061,0008
103274108,300465049,3752,P13369+V13369,MO,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103274108-300465049,0001
103274110,300464553,13257,P33900+V33900,LA,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,Negative,,2600,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,2600,,,,,,,,,,103274110-300464553,0010
103274138,300465897,3937,P27+V27,AR,HC_CPT_LBW01,2023-10-02,Wing,00,,Negative,,,,,,,,,,Positive,,330,,,,,20231002,2024,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,330,,,,,,,,,,103274138-300465897,0010
103274193,300464119,4530,P18557,MS,HC_CPT_LBW01,2023-10-02,Leg,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,10,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,10,,,,,,,,,,103274193-300464119,0010
103274239,300465061,32,P646,GA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274239-300465061,0001
103274298,300464083,696,P9197,NC,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274298-300464083,0001
103274302,300465348,6166841,P1012,GA,HC_CPT_LBW01,2023-10-02,Breast,00,,Positive,,,,,,<10,,,,,86 Sample not selected for Campylobacter analysis,46000,,,,,20231002,2024,Positive,Y,1,,N,0,,,,,,10,<,46000,,,,,,,,,,103274302-300465348,0010
103274337,300464074,4512,P6510,MS,HC_CPT_LBW01,2023-10-02,Wing,00,,Negative,,,,,,,,,,Negative,,10,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,10,,,,,,,,,,103274337-300464074,0010
103274365,300465065,4540,P320,MS,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103274365-300465065,0001
103274567,300464566,7996,P211,SC,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274567-300464566,0001
103274622,300465366,3518,P20251,NE,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274622-300465366,0001
103274651,300464908,5309,P6137A,CA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274651-300464908,0001
103274652,300464094,3250,M244C+P244C,IA,HC_CH_COM01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,<60,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,60,<,,,,,,,103274652-300464094,0008
103274829,300464141,2351,P7927,MD,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103274829-300464141,0001
103274843,300464103,7117,M10017+P10017,MI,HC_CH_COM01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,130,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,130,,,,,,,,103274843-300464103,0008
103275054,300464122,4567,P1307,AL,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,45,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,45,,,,,,,,,,103275054-300464122,0010
103275101,300464570,126987,M45465+P45465+V45465,ME,HC_CH_CARC01,2023-10-02,,00,,Positive,,,,,,<10,,,,Positive,,,,,,,20231002,2024,Positive,Y,1,Positive,Y,1,30 mL,,,,,10,<,,,,,,,,,,,103275101-300464570,0001
103275266,300465017,123883,M44976+P44976,PR,HC_CPT_LBW01,2023-10-02,Leg,00,,Negative,,,,,,,,,,Negative,,13550,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,13550,,,,,,,,,,103275266-300465017,0010
103275288,300464073,5801,M11078+P11078,CA,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,Negative,,57,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,57,,,,,,,,,,103275288-300464073,0010
103275413,300465102,3362,M5533+P5533+V5533,IA,HC_TU_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103275413-300465102,0003
103275694,300465071,562,P445,NC,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103275694-300465071,0001
103275826,300465373,3858,P1009,AR,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103275826-300465373,0001
103275924,300464868,12632,P34453,AL,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,Negative,,30000,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,30000,,,,,,,,,,103275924-300464868,0010
103275954,300465353,4514,P6638,AL,HC_CPT_LBW01,2023-10-02,Leg,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,21,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,21,,,,,,,,,,103275954-300465353,0010
103275966,300464924,6036,P6164A,WA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Positive,,,,,,,20231002,2024,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,103275966-300464924,0001
103276058,300464890,6413,M1015+P1015+V1015,PA,F_TU_COM01,2023-10-02,,00,,Negative,,,,,,,,,,,,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276058-300464890,0009
103276098,300465063,567,M7478+P1,NC,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103276098-300465063,0001
103276115,300464830,696,P9197,NC,HC_CPT_LBW01,2023-10-02,Leg,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,<10,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,10,<,,,,,,,,,103276115-300464830,0010
103276151,300465380,4493,P912,AL,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276151-300465380,0001
103276195,300464955,4499,P6651,TN,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276195-300464955,0001
103276238,300464134,4515,P6666,AL,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Positive,,,,,,,20231002,2024,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,103276238-300464134,0001
103276253,300465076,39,P910,GA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276253-300465076,0001
103276307,300464584,2643,P7769,IN,HC_TU_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103276307-300464584,0003
103276388,300464558,4161,P1294+V1294,TX,HC_CPT_LBW01,2023-10-02,Wing,00,,Negative,,,,,,,,,,Positive,,120,,,,,20231002,2024,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,120,,,,,,,,,,103276388-300464558,0010
103276397,300464089,29,P476,GA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276397-300464089,0001
103276469,300464115,4496,P6504,AL,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,<10,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,10,<,,,,,,,,,103276469-300464115,0010
103276542,300464069,665,M7900+P7900,NC,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,Negative,,2100,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,2100,,,,,,,,,,103276542-300464069,0010
103276597,300464093,496,M18726+P18726,FL,HC_TU_COM01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,17000,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,17000,,,,,,,,103276597-300464093,0009
103276645,300464136,9337,M31727+P31727+V31727A,NY,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103276645-300464136,0001
103276683,300464582,4506,P548,AL,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276683-300464582,0001
103276726,300464084,6164072,P48466,PA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Positive,,,,,,,20231002,2024,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,103276726-300464084,0001
103276747,300464128,3870,P5787,LA,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103276747-300464128,0001
103276855,300464548,2214,M2161+P3,DE,HC_CPT_LBW01,2023-10-02,Leg,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,21,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,21,,,,,,,,,,103276855-300464548,0010
103276902,300464110,124118,M45080+P45080,CA,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,Negative,,6550,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,6550,,,,,,,,,,103276902-300464110,0010
103276969,300464079,127350,M45616+P45616,CA,HC_CPT_LBW01,2023-10-02,Breast,00,,Negative,,,,,,,,,,Negative,,11000,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,11000,,,,,,,,,,103276969-300464079,0010
103276975,300464549,6162343,P46897,MD,HC_CPT_LBW01,2023-10-02,Wing,00,,Positive,,,,,,<10,,,,,86 Sample not selected for Campylobacter analysis,3700,,,,,20231002,2024,Positive,Y,1,,N,0,,,,,,10,<,3700,,,,,,,,,,103276975-300464549,0008
103276988,300464572,4499,P6651,TN,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,,86 Sample not selected for Campylobacter analysis,,,,,,20231002,2024,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,103276988-300464572,0001
103277178,300464917,2249,M667+P667,DE,HC_CH_CARC01,2023-10-02,,00,,Negative,,,,,,,,,,Negative,,,,,,,20231002,2024,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,103277178-300464917,0001
