form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
102806775,300007389,13078,M38463+P38463,F_CPT_LBW01,2021-10-01,Leg,00,,Negative,,,,,,,,,,,,,,,,,20211001,2022,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102806775-300007389,0010
102807841,300007416,8862,M27297+P27297,F_CH_CARC01,2021-10-01,,00,,Negative,,,,,,,,,,,,,,,,,20211001,2022,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102807841-300007416,0001
102809089,300007371,651,M7345+P7345,F_TU_COM01,2021-10-01,,00,,Positive,,,,,,,,,,,,,,,,,20211001,2022,Positive,Y,1,,N,0,,,,,,,,,,,,,,,,,,102809089-300007371,0009
102809378,300007332,2264,P1249,HC_CPT_LBW01,2021-10-01,Wing,00,,Negative,,,,,,,,,,Negative,,,,,,,20211001,2022,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102809378-300007332,0010
102809497,300007419,1906,M810+P810,F_CPT_LBW01,2021-10-01,Leg,00,,Negative,,,,,,,,,,,,,,,,,20211001,2022,Negative,Y,0,,N,0,,,,,,,,,,,,,,,,,,102809497-300007419,0010
102809672,300007366,41,P1250,HC_CH_COM01,2021-10-01,,00,,Positive,,,,,,,,,,Negative,,,,,,,20211001,2022,Positive,Y,1,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102809672-300007366,0008
102810044,300007423,2643,P7769,HC_TU_CARC01,2021-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20211001,2022,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102810044-300007423,0003
102810530,300007367,12461,P34308,HC_CPT_LBW01,2021-10-01,Wing,00,,Negative,,,,,,,,,,Negative,,,,,,,20211001,2022,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102810530-300007367,0010
102810923,300007368,3,P40,HC_CH_CARC01,2021-10-01,,00,,Negative,,,,,,,,,,Positive,,,,,,,20211001,2022,Negative,Y,0,Positive,Y,1,30 mL,,,,,,,,,,,,,,,,,102810923-300007368,0001
102811261,300007413,3880,M7100+P7100+V7100,HC_CH_CARC01,2021-10-01,,00,,Negative,,,,,,,,,,Negative,,,,,,,20211001,2022,Negative,Y,0,Negative,Y,0,30 mL,,,,,,,,,,,,,,,,,102811261-300007413,0001
