form_id,sample_number,establishment_id,establishment_number,establishment_state,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,salmonellae_mpn_g_value,salmonellae_mpn_g_censor,salmonella_quantitative_cfu_g_value,salmonella_quantitative_cfu_g_censor,salmonella_quantitative_cfu_ml_value,salmonella_quantitative_cfu_ml_censor,aerobic_plate_count_mpn_ml_value,aerobic_plate_count_mpn_ml_censor,aerobic_plate_count_mpn_g_value,aerobic_plate_count_mpn_g_censor,aerobic_plate_count_mpn_100_sq_cm_value,aerobic_plate_count_mpn_100_sq_cm_censor,enterobacteriaceae_mpn_ml_value,enterobacteriaceae_mpn_ml_censor,enterobacteriaceae_mpn_100_sq_cm_value,enterobacteriaceae_mpn_100_sq_cm_censor,sample_key,sample_source_key
100597023,853142103,3842,M13289+P963,AR,NRTE_EXP_TU,2013-10-01,d. ground turkey,00        ,,Negative,,,,,,,,Negative,,,,,,,,,20131001,2014,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100597023-853142103,0006
100602431,210048640,2378,M10787+P10787,MD,NRTE_EXP_TU,2013-10-01,e. mechanically separated turkey,00        ,,Negative,,,,,,,,Negative,,,,,,,,,20131001,2014,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100602431-210048640,0006
100602467,590167577,171,M9137+P9137,GA,NRTE_EXP_CH,2013-10-01,b. mechanically separated chicken,00,,Positive,,2.3,,33000,,,Positive,Positive,,,,,,,,,20131001,2014,Positive,Y,1,Positive,Y,1,1 mL,2.3,,,,,,,,,,,,,,,,100602467-590167577,0006
100602564,590167576,577,P419,NC,NRTE_EXP_CH,2013-10-01,b. mechanically separated chicken,00        ,,Positive,,<0.03,,00000,,,Negative,Negative,,,,,,,,,20131001,2014,Positive,Y,1,Negative,Y,0,1 mL,0.03,<,,,,,,,,,,,,,,,100602564-590167576,0006
100602667,853142102,5790,M9034+P9034,CA,NRTE_EXP_CH,2013-10-01,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00        ,,Positive,,,,,,,,Negative,,,,,,,,,20131001,2014,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100602667-853142102,0006
100603286,590167581,5969,M1515A+P6121A,WA,NRTE_EXP_TU,2013-10-01,d. ground turkey,00        ,,Negative,,,,,,,,Negative,,,,,,,,,20131001,2014,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100603286-590167581,0006
100603305,210048969,41,P1250,GA,NRTE_EXP_CH,2013-10-01,b. mechanically separated chicken,00        ,,Positive,,,,,,,,Negative,,,,,,,,,20131001,2014,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100603305-210048969,0006
100603504,590167818,4530,P18557,MS,NRTE_EXP_CH,2013-10-01,b. mechanically separated chicken,00        ,,Positive,,0.036,,10000,,,Positive,Negative,,,,,,,,,20131001,2014,Positive,Y,1,Negative,Y,0,1 mL,0.036,,,,,,,,,,,,,,,,100603504-590167818,0006
100581725,853142272,297,M20091+P20091,GA,NRTE_EXP_CH,2013-10-02,"c. other comminuted chicken (including sausage, patties, meatloaf, and other non-breaded, non-battered comminuted products)",00        ,,Positive,,,,,,,,Negative,,,,,,,,,20131002,2014,Positive,Y,1,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100581725-853142272,0006
100602791,853142226,391,M11126+P11126,FL,NRTE_EXP_CH,2013-10-02,a. ground chicken,50-20     ,Sampling Inspection not followed/ collected HC01 sample.  Wrong supplies used.,Negative,,,,,,,,Negative,,,,,,,,,20131002,2014,Negative,Y,0,Negative,Y,0,1 mL,,,,,,,,,,,,,,,,,100602791-853142226,0006
