form_id,sample_number,establishment_id,establishment_number,project_code,collection_date,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g,collection_date_key,fiscal_year,salmonella_result,salmonella_analyzed,salmonella_positive,campylobacter_result,campylobacter_analyzed,campylobacter_positive,campylobacter_method,sample_key,sample_source_key
101495167,590351090,566,P843,HC_CH_CARC01,2016-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20161002,2017,Negative,Y,0,Negative,Y,0,1 mL,101495167-590351090,0001
101495551,590351121,3356,M4653A+P4653A+V4653A,EXP_CH_MSK01,2016-10-02,,00,,Positive,,,,,,,,Negative,,Positive,,,,,,,20161002,2017,Positive,Y,1,Positive,Y,1,30 mL,101495551-590351121,0008
101495577,590351098,48,P1284,HC_CH_CARC01,2016-10-02,,00,,Negative,,,,,,,,Negative,,,,,,,,,20161002,2017,Negative,Y,0,Negative,Y,0,1 mL,101495577-590351098,0001
101489410,210249319,3879,P7085+V7085,HC_CPT_LBW01,2016-10-03,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20161003,2017,Negative,Y,0,Negative,Y,0,1 mL,101489410-210249319,0010
101489411,210249372,3879,P7085+V7085,HC_CH_CARC01,2016-10-03,,00,,Negative,,,,,,,,Negative,,,,,,,,,20161003,2017,Negative,Y,0,Negative,Y,0,1 mL,101489411-210249372,0001
101489451,210248991,2091,P15724+V15724,HC_CH_CARC01,2016-10-03,,00,,Positive,,,,,,,,Negative,,,,,,,,,20161003,2017,Positive,Y,1,Negative,Y,0,1 mL,101489451-210248991,0001
101489503,210249047,7996,P211,HC_CH_CARC01,2016-10-03,,00,,Negative,,,,,,,,Negative,,,,,,,,,20161003,2017,Negative,Y,0,Negative,Y,0,1 mL,101489503-210249047,0001
101489513,590351089,3851,P208+V208,HC_CPT_LBW01,2016-10-03,b. Leg,00,,Negative,,,,,,,,Negative,,,,,,,,,20161003,2017,Negative,Y,0,Negative,Y,0,1 mL,101489513-590351089,0010
101489679,210249080,3842,M13289+P963,HC_TU_COM01,2016-10-03,a. ground turkey,00,,Positive,,,,,,,,Negative,,Negative,,,,,,,20161003,2017,Positive,Y,1,Negative,Y,0,30 mL,101489679-210249080,0009
101489697,210249074,5131,P312,HC_TU_CARC01,2016-10-03,,00,,Negative,,,,,,,,Negative,,,,,,,,,20161003,2017,Negative,Y,0,Negative,Y,0,1 mL,101489697-210249074,0003
